ServiceStatus,MajorCyclewayName,Type,CreateDate,LastEditDate,Shape__Length,Ownership,PublicRelevance,GeometryPath
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,12.82,Waka Kotahi,No Public Relevance,"[[[172.61620471789004, -43.4843155774904], [172.61620462918742, -43.484329588806155], [172.61619892586495, -43.484430968145695]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,6.23,Waka Kotahi,No Public Relevance,"[[[172.61620912378314, -43.48425954672474], [172.61620471789004, -43.4843155774904]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,76.55,CCC,No Public Relevance,"[[[172.6114212530746, -43.49260181569052], [172.61186118713042, -43.49213570121999], [172.61196925867475, -43.492040241537346]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,13.12,CCC,No Public Relevance,"[[[172.6113336638098, -43.492701269443515], [172.61134096796928, -43.492692066663544], [172.6114078775774, -43.492615832251836], [172.6114212530746, -43.49260181569052]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,117.49,CCC,No Public Relevance,"[[[172.6103588553911, -43.49369145473829], [172.61039293128746, -43.49366753477582], [172.61046735581678, -43.49359260964682], [172.61065523595607, -43.49340457975572], [172.61099931800905, -43.49305148658117], [172.61108931969284, -43.49294920404105], [172.6111432011201, -43.49289307169687], [172.6112063772551, -43.49283304055412]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,149.51,CCC,No Public Relevance,"[[[172.60928016461804, -43.494785542772995], [172.60981388083508, -43.49423864337435], [172.61031790450085, -43.49372010733145], [172.61035823333026, -43.49369279245824]]]"
In Service,,Cycleway,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,112.85,CCC,Public,"[[[172.64549320991225, -43.5370753126856], [172.64485358155852, -43.53691509087357], [172.64452405826987, -43.536842781220834], [172.64417056791612, -43.53674940356117]]]"
In Service,,Cycleway,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,351.32,CCC,Public,"[[[172.64582260858697, -43.53714627752624], [172.6461770162102, -43.53723221001328], [172.64856521017498, -43.537824343795236], [172.64968658049895, -43.538096485776016], [172.6499348816634, -43.538172789084726]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,327.05,CCC,No Public Relevance,"[[[172.6498716980165, -43.538048778427516], [172.64975807547896, -43.53802948281878], [172.6495032099683, -43.537976734781125], [172.64823544496102, -43.53766258525838], [172.64703266736086, -43.537366332733946], [172.64612176888792, -43.53714499601312], [172.64603102813732, -43.53712062880204]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,41.52,CCC,Public,"[[[172.64262148022775, -43.54009760073692], [172.64261801949698, -43.54012441441492], [172.64260844465167, -43.54029385575765], [172.64259591687883, -43.54047097387232]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,24.74,CCC,Public,"[[[172.6428045890216, -43.54044601525954], [172.6428053047721, -43.540411576325745], [172.6428111061688, -43.54031723104591], [172.64281509634023, -43.540280395510734], [172.64282071452297, -43.54022358107806]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,21.21,CCC,Public,"[[[172.6425401439793, -43.54111544723025], [172.64253290848572, -43.54121925954478], [172.64252832483817, -43.541306222436205]]]"
In Service,,Cycleway,2021-03-24 13:53:31+13:00,2023-06-09 21:55:28+12:00,120.47,CCC,Public,"[[[172.62753096384893, -43.53313200613191], [172.62752630274773, -43.53306789427809], [172.62752373955325, -43.53299632024217], [172.627524195529, -43.532893677912014], [172.6275236840579, -43.53278132315778], [172.6275236319196, -43.5325655787244], [172.62752743194437, -43.532307282892276], [172.6275264360778, -43.53204740378662]]]"
In Service,,Cycleway,2021-03-24 13:53:31+13:00,2023-06-09 21:57:20+12:00,118.06,CCC,Public,"[[[172.62752327122914, -43.52987339679735], [172.62751750766233, -43.529645597675405], [172.6275061342706, -43.52941217962831], [172.6274881922772, -43.52934724109372], [172.62748666298177, -43.52928384983436], [172.62748970711874, -43.5291660491209], [172.6275018298452, -43.529125060776956], [172.6275088114009, -43.52908554858605], [172.62752804430477, -43.528984137908566], [172.62754121437936, -43.5288887745362], [172.62753844679145, -43.528814638975305]]]"
In Service,,Cycleway,2023-06-09 22:04:26+12:00,2023-06-09 22:04:26+12:00,495.56,CCC,Public,"[[[172.62753844679145, -43.528814638975305], [172.62774969042613, -43.528321539517954], [172.6278130621443, -43.528147739672704], [172.62783209043903, -43.52805773664094], [172.62785303649787, -43.52795631345812], [172.62788120089587, -43.52778262316974], [172.62790213437586, -43.5276832168833], [172.6279341395254, -43.52758586267138], [172.62800285699916, -43.52737705447273], [172.6280787710434, -43.527115918939366], [172.62810349815206, -43.52700039383447], [172.6281105948713, -43.526580262492494], [172.62811031991546, -43.52563920860635], [172.6281076525043, -43.525622397099525], [172.62808846700892, -43.525587720557276], [172.62807981619088, -43.52556752830029], [172.62807311925317, -43.52554674541663], [172.62806828082617, -43.52543213168528], [172.628070686929, -43.52541634425637], [172.62807726403386, -43.52539821848498], [172.62809381968108, -43.525368063977695], [172.62810178063975, -43.52535027856459], [172.62810558091792, -43.52533315133486], [172.62810607065316, -43.52532030836456], [172.6281020644664, -43.52522048411741], [172.62809618737091, -43.52515810696372], [172.62808598848957, -43.525089180466075], [172.62807384510745, -43.525036042898336], [172.62805106989126, -43.52497600049946], [172.62802331858802, -43.52490735275155], [172.6279986933532, -43.524856191518055], [172.62796579933683, -43.52479760908272], [172.6278805584198, -43.52464789533404], [172.6277621193255, -43.52445599117126]]]"
In Service,,Shared path,2023-06-10 03:42:08+12:00,2023-06-10 03:42:08+12:00,643.88,CCC,Public,"[[[172.6469216993976, -43.52406199966524], [172.64704953099107, -43.52347562583622], [172.6471425462987, -43.52332838272217], [172.64730418877045, -43.52326517545206], [172.64748844171257, -43.523275802320455], [172.64797622005634, -43.52338795302326], [172.64820209834232, -43.523371883216456], [172.648294467909, -43.52333528505836], [172.6486867166114, -43.523235063428594], [172.64892630167537, -43.52323915251155], [172.6490736721146, -43.52325301675599], [172.64934045530168, -43.52333430628505], [172.64973069936565, -43.523580268704585], [172.65014762522324, -43.52399395982842], [172.65049067638708, -43.52443424727518], [172.65064313746169, -43.524764141011644], [172.65066770730567, -43.52489833532195], [172.65063483324442, -43.52500552954686], [172.65051888077298, -43.52513594033712], [172.65038239536815, -43.52523108249946], [172.65010742319674, -43.52536896986888], [172.64991083937642, -43.52549745756693], [172.6497885672493, -43.52564068111271], [172.64975332454242, -43.52573707712015], [172.64972218633787, -43.52583348658994], [172.64972111597203, -43.52593527636482], [172.64975290615067, -43.5260341791937], [172.64979389499044, -43.5261056355183]]]"
In Service,Quarryman's Trail Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-13 23:38:44+12:00,29.82,CCC,Public,"[[[172.62800891779017, -43.54215787982049], [172.6280087227657, -43.54242634731919]]]"
In Service,Quarryman's Trail Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-13 23:39:01+12:00,30.93,CCC,Public,"[[[172.6280045373529, -43.540957398898534], [172.62800697028416, -43.54123591381473]]]"
In Service,Heathcote Expressway Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-13 23:40:29+12:00,41.42,CCC,Public,"[[[172.6503279998728, -43.538274142505976], [172.6508085551514, -43.538403993517036]]]"
In Service,Heathcote Expressway Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-13 23:42:21+12:00,18.61,CCC,Public,"[[[172.65605207835122, -43.53957385088562], [172.6562654061966, -43.539637047516166]]]"
In Service,Heathcote Expressway Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-13 23:43:00+12:00,30.37,CCC,Public,"[[[172.6565323540192, -43.53983151271814], [172.65668270565556, -43.540082167494255]]]"
In Service,Heathcote Expressway Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-13 23:44:17+12:00,17.26,CCC,Public,"[[[172.65546002333528, -43.54265726762414], [172.65566711886493, -43.5426954949529]]]"
In Service,Heathcote Expressway Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-13 23:46:09+12:00,19.4,CCC,Public,"[[[172.67407354225725, -43.551832650122535], [172.67431127058515, -43.551857584011124]]]"
In Service,Rapanui Shag Rock Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-14 00:01:55+12:00,27.17,CCC,Public,"[[[172.6572038036506, -43.530960455552815], [172.65754000811327, -43.53096054911858]]]"
In Service,Rapanui Shag Rock Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-14 00:02:21+12:00,20.63,CCC,Public,"[[[172.65694853241985, -43.530961116198995], [172.6572038036506, -43.530960455552815]]]"
In Service,Rapanui Shag Rock Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-14 00:02:42+12:00,21.78,CCC,Public,"[[[172.6569379045859, -43.53085819462549], [172.65720723611264, -43.530865723197444]]]"
In Service,Rapanui Shag Rock Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-14 00:05:15+12:00,16.32,CCC,Public,"[[[172.6621612329533, -43.53194582080638], [172.66216401544492, -43.532092749438114]]]"
