ServiceStatus,MajorCyclewayName,Type,CreateDate,LastEditDate,Shape__Length,Ownership,PublicRelevance,GeometryPath
In Service,Heathcote Expressway Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-13 23:40:38+12:00,41.87,CCC,Public,"[[[172.6503200076957, -43.53815380532531], [172.65080707182858, -43.53828247598742]]]"
In Service,Heathcote Expressway Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-13 23:43:22+12:00,30.6,CCC,Public,"[[[172.6562654061966, -43.539637047516166], [172.65638489603575, -43.53971798823711], [172.6564288178173, -43.53974305203944], [172.6565323540192, -43.53983151271814]]]"
In Service,Heathcote Expressway Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-13 23:45:10+12:00,27.23,CCC,Public,"[[[172.6627964672729, -43.54514854574957], [172.6630905621712, -43.54526834319715]]]"
In Service,Heathcote Expressway Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-13 23:46:33+12:00,19.87,CCC,Public,"[[[172.67406315894078, -43.551875871349296], [172.6743074368229, -43.55189660364327]]]"
In Service,Rapanui Shag Rock Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-14 00:02:09+12:00,55.68,CCC,Public,"[[[172.65694853241985, -43.530961116198995], [172.65653677286056, -43.5309622976613], [172.65638718699893, -43.53096316643137], [172.65627389718696, -43.530920162002026]]]"
In Service,Rapanui Shag Rock Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-14 00:02:30+12:00,55.01,CCC,Public,"[[[172.65626208956402, -43.530884409373215], [172.65638876953025, -43.53085837080183], [172.6569379045859, -43.53085819462549]]]"
In Service,Rapanui Shag Rock Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-14 00:03:54+12:00,40.44,CCC,Public,"[[[172.65029054785782, -43.53092103477037], [172.65079105738448, -43.53092030357481]]]"
In Service,Rapanui Shag Rock Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-14 00:06:00+12:00,36.9,CCC,Public,"[[[172.67146361315287, -43.535212063725986], [172.6714410175515, -43.53515864328908], [172.6711506409757, -43.534980520451846]]]"
In Service,Rapanui Shag Rock Cycleway,Shared path,2022-12-12 14:28:36+13:00,2023-06-14 00:10:24+12:00,282.18,CCC,Public,"[[[172.70291628743172, -43.55495078231029], [172.70296481907857, -43.554935025884944], [172.70310709607188, -43.555132327350705], [172.703178741863, -43.555221906242615], [172.70322561619835, -43.55527445311931], [172.70328818839542, -43.55532973027281], [172.70335812020522, -43.55539174632631], [172.7035008213557, -43.5555030176969], [172.7036233352228, -43.555584662242765], [172.70388497149173, -43.555754042979835], [172.70412952131747, -43.55592136285636], [172.70437038217585, -43.5560873283388], [172.7045334271574, -43.55619663406765], [172.7046633027641, -43.55628568986766], [172.70477753188987, -43.55636126274022], [172.70492952163326, -43.55646381771335], [172.7050234437899, -43.55653463323023], [172.7051080320836, -43.556624243383084], [172.70515302138722, -43.556684850562014], [172.70528549959056, -43.556619324571635], [172.70528550614233, -43.55661798026074]]]"
In Service,Quarryman's Trail Cycleway,Quiet street,2021-03-23 13:33:26+13:00,2023-06-14 00:14:58+12:00,10.36,CCC,Public,"[[[172.57838411817417, -43.57805720808083], [172.57826997323872, -43.57801459536252]]]"
In Service,Quarryman's Trail Cycleway,Quiet street,2021-03-23 13:33:26+13:00,2023-06-14 00:15:36+12:00,13.1,CCC,Public,"[[[172.57430338766102, -43.5784115684999], [172.57446526923036, -43.57840422317959]]]"
In Service,Heathcote Expressway Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-14 00:17:26+12:00,11.74,CCC,Public,"[[[172.65080707182858, -43.53828247598742], [172.6509444863248, -43.5383168658501]]]"
In Service,Papanui Parallel Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-14 00:29:40+12:00,26.86,CCC,Public,"[[[172.63108120829662, -43.508831679422414], [172.63125761925724, -43.509036597829024]]]"
In Service,Papanui Parallel Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-14 00:44:06+12:00,23.79,CCC,Public,"[[[172.62729775140048, -43.50510733501276], [172.62751235855978, -43.50525394242818]]]"
In Service,Southern Lights Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-10 04:21:24+12:00,14.36,CCC,Public,"[[[172.6395412311636, -43.55802521442941], [172.63971903060232, -43.55802392989199]]]"
In Service,Quarryman's Trail Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-10 04:22:43+12:00,18.28,CCC,Public,"[[[172.62803932635268, -43.55506335096485], [172.62820686746272, -43.55495269850044]]]"
In Service,Quarryman's Trail Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-10 04:24:05+12:00,470.46,CCC,Public,"[[[172.6193627423365, -43.5599601239871], [172.61922452683282, -43.560102052488226], [172.6190427721065, -43.56025272379134], [172.61884452079013, -43.560379145534625], [172.61851919370497, -43.560567256627415], [172.61826576653533, -43.560714303736404], [172.6179763575137, -43.56088664709341], [172.61774048225908, -43.56102104405716], [172.61735896416002, -43.56125137728977], [172.61706168634885, -43.56142369197763], [172.6167643665682, -43.56160236000477], [172.61635832064718, -43.56184150379365], [172.61606891694527, -43.56201130041862], [172.6157812627379, -43.56218046738922], [172.61566551808517, -43.56224552622447], [172.614920916799, -43.56268717766828]]]"
In Service,Quarryman's Trail Cycleway,Quiet street,2021-03-23 13:33:26+13:00,2023-06-10 04:25:11+12:00,105.9,CCC,Public,"[[[172.62073665595202, -43.55925805047496], [172.6206617435429, -43.55922158706765], [172.6197641569242, -43.55968881716189], [172.61968871727572, -43.559754098779386]]]"
In Service,Quarryman's Trail Cycleway,Quiet street,2021-03-23 13:33:26+13:00,2023-06-10 04:26:09+12:00,94.42,CCC,Public,"[[[172.62073665595202, -43.55925805047496], [172.61991582659724, -43.55970701472442], [172.61978588820895, -43.55974863227239]]]"
In Service,Southern Lights Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-10 04:27:31+12:00,21.08,CCC,Public,"[[[172.64231981010374, -43.557893261977654], [172.64205888246585, -43.55789718338588]]]"
In Service,Southern Lights Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-10 04:27:52+12:00,23.47,CCC,Public,"[[[172.6434863685805, -43.55800356751866], [172.6437769146024, -43.55800183671948]]]"
In Service,Quarryman's Trail Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-10 04:28:50+12:00,13.16,CCC,Public,"[[[172.63156966903048, -43.552613361654444], [172.6314398153745, -43.55268491736408]]]"
In Service,Quarryman's Trail Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-10 04:29:21+12:00,11.0,CCC,Public,"[[[172.6314948739474, -43.55260627380556], [172.63158091627037, -43.5526830967675]]]"
In Service,Quarryman's Trail Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-10 04:29:52+12:00,22.65,CCC,Public,"[[[172.6307447319976, -43.55188320984553], [172.63090941769744, -43.55204831333131]]]"
In Service,Quarryman's Trail Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-10 04:30:26+12:00,33.31,CCC,Public,"[[[172.62974554700637, -43.55102258140506], [172.63000642448696, -43.55125486384536]]]"
In Service,Quarryman's Trail Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-10 04:30:54+12:00,25.04,CCC,Public,"[[[172.62875520703025, -43.550139591065324], [172.62895027610082, -43.55031477363928]]]"
In Service,Quarryman's Trail Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-10 04:31:19+12:00,41.43,CCC,Public,"[[[172.62798257416446, -43.54882715314334], [172.62798308428788, -43.54886055053024], [172.62798671121863, -43.5490348983064], [172.62798088317854, -43.54920011205338]]]"
In Service,Quarryman's Trail Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-10 04:31:47+12:00,42.87,CCC,Public,"[[[172.62803686810187, -43.54743403924918], [172.6280323725984, -43.547820054242855]]]"
In Service,Quarryman's Trail Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-10 04:32:22+12:00,34.92,CCC,Public,"[[[172.62803348656936, -43.54603060851956], [172.62803832977676, -43.5462743072188], [172.628036197829, -43.546345018505754]]]"
In Service,Rapanui Shag Rock Cycleway,Cycleway,2021-03-23 13:33:26+13:00,2023-06-14 00:04:58+12:00,15.92,CCC,Public,"[[[172.66216239224678, -43.53296596871539], [172.66221898330525, -43.53310327229277]]]"
In Service,Rapanui Shag Rock Cycleway,Shared path,2021-03-23 13:33:26+13:00,2023-06-14 00:09:17+12:00,520.84,CCC,Public,"[[[172.69022346442995, -43.543988154073595], [172.69035749892765, -43.54408182792253], [172.69041762506393, -43.544014042166694], [172.69049150570123, -43.543935421012804], [172.6905713485898, -43.543909362798225], [172.6907353705092, -43.54398409143294], [172.6909614365492, -43.54410428510022], [172.69147318510622, -43.54437789728593], [172.69192905639196, -43.5446191971388], [172.6922718911977, -43.54480085225472], [172.69229904112774, -43.54485075289388], [172.6924157814065, -43.5449171994269], [172.69246808106928, -43.54491915086252], [172.69268423204065, -43.54503116021197], [172.69308306718946, -43.5452231543715], [172.69371041047413, -43.54554779832633], [172.69445191373651, -43.54595880811154], [172.69515602985626, -43.54637605595577], [172.6951770132211, -43.54641416193633], [172.6953005090063, -43.54647685525185]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,261.83,CCC,Public,"[[[172.6427115442192, -43.544293936437654], [172.64270949598378, -43.54418089734422], [172.64271078289923, -43.54378211428594], [172.6427123173938, -43.543527316697094], [172.64270821519693, -43.54309198932014], [172.64270537771964, -43.54274223930431], [172.64270972907568, -43.542742586058566], [172.64270864860694, -43.542715523188775], [172.64270878687628, -43.54241040918576], [172.64270795741768, -43.542084293389706], [172.64271207410292, -43.54201956857874], [172.64272144209204, -43.541940285938054]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,99.84,CCC,Public,"[[[172.64257587044634, -43.54245090173809], [172.64257572490777, -43.542045387926905], [172.6425693224963, -43.54164654556687], [172.64255665634275, -43.54155243972515]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,101.38,CCC,Public,"[[[172.64257848936884, -43.54358068603478], [172.64257793075464, -43.54352543257845], [172.64257744825574, -43.543084142210496], [172.64257759360746, -43.54271697294038], [172.64257874268355, -43.54266788010161]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,95.08,CCC,Public,"[[[172.6425828620331, -43.544631526583245], [172.64257999336215, -43.54410238275532], [172.64258024531256, -43.544057642465944], [172.64257792071612, -43.54377541046883]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,276.97,CCC,Public,"[[[172.64273941400577, -43.544817815265034], [172.64271277144343, -43.5449368812581], [172.64271367186646, -43.54524531642716], [172.64271754206607, -43.545626041329896], [172.64271949063584, -43.54600537805469], [172.64270667657254, -43.54628487577266], [172.64270207159197, -43.546604280610886], [172.6427163445914, -43.546741551290886], [172.64272801344111, -43.546896580949785], [172.64274633303316, -43.54730910156144]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,99.33,CCC,Public,"[[[172.64258478154113, -43.5457108126021], [172.6425861760969, -43.54568450393207], [172.6425845452295, -43.54527227756327], [172.64258130284665, -43.54481644228892]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,147.49,CCC,Public,"[[[172.64258535235507, -43.547265569984496], [172.64257885973433, -43.54691398363982], [172.64257820439465, -43.54672844429025], [172.64258416515975, -43.54599301279925], [172.64258655718803, -43.545937627223964]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,98.18,CCC,Public,"[[[172.64256731306122, -43.547634364110074], [172.64256279494344, -43.54770910568772], [172.64255655070738, -43.54781241314498], [172.6425394037249, -43.54791137799593], [172.64252544090084, -43.54801825669863], [172.64249935191924, -43.5480994750865], [172.6424698072738, -43.54817156859446], [172.64242246146352, -43.548271246660704], [172.6423856928695, -43.54832436007726], [172.64231461821274, -43.548407687854805], [172.64225322131554, -43.54847054057087]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,28.07,CCC,Public,"[[[172.64205223420572, -43.54863366845448], [172.64203109532372, -43.54865246970266], [172.64182168744426, -43.548822759774666]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,66.88,CCC,Public,"[[[172.64157035493497, -43.54901401310476], [172.64127239042836, -43.54923959220436], [172.64100262524028, -43.54945229119784]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,25.7,CCC,Public,"[[[172.64078411642404, -43.54962049330416], [172.64086399664959, -43.54955736359406], [172.64100262524028, -43.54945229119784]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,268.11,CCC,Public,"[[[172.64232585744682, -43.54857097573131], [172.64195535737082, -43.5488502505251], [172.64155003985752, -43.549164483661386], [172.64114455849065, -43.54948120989521], [172.64073565999075, -43.54979165250031], [172.6404952851928, -43.54997781806863], [172.64030435329613, -43.55010696374055], [172.64017469404564, -43.55018448540547], [172.63998381288204, -43.550274309303916]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,200.62,CCC,No Public Relevance,"[[[172.63666922910076, -43.54946322356262], [172.63667214316655, -43.549376885122186], [172.63665682951182, -43.54889200188567], [172.63664249796733, -43.548682402169206], [172.63662934425525, -43.548370927101146], [172.63662935416926, -43.547916539329755], [172.63661441678806, -43.54765761705729]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,37.16,CCC,No Public Relevance,"[[[172.63680316185923, -43.54956883721661], [172.636803829699, -43.54961595208014], [172.63681190311132, -43.54989333988427], [172.63681162373382, -43.54990337509171]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,44.14,CCC,No Public Relevance,"[[[172.63681162373382, -43.54990337509171], [172.63680654169832, -43.550057618208704], [172.6368132234232, -43.550289487081905], [172.63681374045976, -43.550300692664784]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,65.71,CCC,No Public Relevance,"[[[172.63683170554825, -43.55054342313226], [172.63682864483894, -43.55056349370139], [172.63682047305974, -43.55059501939997], [172.63681832858114, -43.55064929177305], [172.63682598157195, -43.550860238821635], [172.63683957896407, -43.551134147775436]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,17.37,CCC,No Public Relevance,"[[[172.63669366618953, -43.550733646043255], [172.63668695698695, -43.55058844712857], [172.63668722782376, -43.55057736470574]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,10.15,CCC,No Public Relevance,"[[[172.636867439078, -43.552305870287235], [172.63687151894632, -43.55238577038267], [172.6368745416873, -43.55239698662074]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,36.58,CCC,No Public Relevance,"[[[172.63688178919787, -43.552627899144504], [172.63690003153653, -43.552808516658246], [172.63689779391942, -43.552936654732044], [172.63689914876977, -43.5529567879405]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,118.73,CCC,No Public Relevance,"[[[172.63690074554796, -43.55300529237368], [172.63689614766994, -43.55321126341668], [172.63689396191572, -43.553583766808735], [172.63689899272313, -43.55391213827089], [172.63689393068006, -43.55404281373918], [172.63688965844983, -43.55407410959481]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,429.65,CCC,No Public Relevance,"[[[172.63681342070225, -43.55703704359502], [172.63680723795997, -43.55656574765879], [172.63680731567814, -43.55645035635849], [172.63679807566263, -43.55611581369261], [172.63678938468297, -43.55536727659277], [172.6367778245583, -43.5547332601611], [172.63677447487956, -43.554392855459625], [172.63676322829465, -43.553874468326725], [172.63676602785296, -43.553554709045905], [172.6367764004545, -43.55331183101509], [172.6367798786558, -43.553178984991874], [172.63677857286234, -43.553168829500464]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,284.98,CCC,No Public Relevance,"[[[172.63688965844983, -43.55407410959481], [172.63687732328904, -43.55427398538983], [172.6368856969249, -43.55482770305293], [172.63689347803816, -43.55517454269724], [172.63689713567297, -43.55581244719816], [172.63690487936051, -43.556117501761626], [172.63691113417298, -43.55657258769435], [172.6369174648387, -43.55663956034105]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,47.55,CCC,No Public Relevance,"[[[172.6369174648387, -43.55663956034105], [172.6369314642861, -43.55676407257692], [172.6369398112129, -43.55705963857522], [172.63694108818706, -43.557067188150654]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,177.26,CCC,No Public Relevance,"[[[172.63693788840152, -43.5581005900353], [172.63694080643978, -43.55813176733739], [172.63694092236344, -43.558567150435984], [172.6369320078021, -43.55909996626147], [172.63693368131953, -43.559696581581484]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,148.96,CCC,No Public Relevance,"[[[172.63683180218948, -43.55967625428624], [172.63682555870568, -43.55947764688987], [172.63683152471015, -43.5591759685032], [172.63682428722507, -43.55882828983209], [172.6368229935126, -43.55881074284329], [172.63680921727556, -43.55867273765604], [172.63680591427257, -43.558370488630935], [172.6368142913334, -43.558336093090126]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,101.75,CCC,No Public Relevance,"[[[172.6369361759567, -43.559912929733535], [172.6369394028432, -43.56011662030293], [172.63694744104635, -43.56067729297225], [172.6369448470185, -43.56071132149324], [172.6369616412558, -43.56082832761077]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,109.24,CCC,No Public Relevance,"[[[172.63683305138534, -43.56090981417416], [172.63683183314603, -43.56088031346243], [172.63683848599612, -43.5604614234158], [172.6368259962867, -43.55992632470316]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,44.26,CCC,No Public Relevance,"[[[172.6368924775499, -43.56167688744816], [172.63689367244925, -43.561642039611044], [172.636885296686, -43.56145307801003], [172.63688308075945, -43.561378783669895], [172.6368802788013, -43.56132310543987], [172.63687838718604, -43.56127851606457]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,28.92,CCC,No Public Relevance,"[[[172.63690458467988, -43.56208491310257], [172.63689600847084, -43.56200786309745], [172.636908875077, -43.56189585127767], [172.6369114441542, -43.56182516661401]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,323.38,CCC,No Public Relevance,"[[[172.63703537493654, -43.56499474449819], [172.6370393331096, -43.56494616956282], [172.63701517556223, -43.56450362432563], [172.63700363220426, -43.56424713035324], [172.6369914367057, -43.563891185719264], [172.63696046915672, -43.5631024949578], [172.63694560850612, -43.56285454436541], [172.6369197863415, -43.56222901495994], [172.63691778505506, -43.56220350332784], [172.63690458467988, -43.56208491310257]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,401.56,CCC,No Public Relevance,"[[[172.63697657358213, -43.56098715229623], [172.63698464964725, -43.561073050043454], [172.6369862033906, -43.561117419543905], [172.63699289046428, -43.56122926296658], [172.63699712845556, -43.56142936402443], [172.63702036294143, -43.56208134680714], [172.6370305210369, -43.56229319459026], [172.63706560295236, -43.56317175133126], [172.637082788091, -43.56359837312783], [172.63712004095228, -43.56444988615794], [172.63713599970717, -43.564600682243665]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,118.23,CCC,No Public Relevance,"[[[172.6371282146755, -43.56527773559509], [172.6371087219549, -43.56532554809209], [172.6370927442988, -43.565369505344776], [172.6370397543067, -43.56551185091155], [172.63696598208728, -43.56564200002018], [172.63685473324804, -43.565770827087434], [172.63672454986562, -43.565906552317074], [172.6365377970681, -43.56608282080532], [172.63642291939564, -43.56619622794144]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,119.95,CCC,No Public Relevance,"[[[172.63648469912016, -43.5659713926565], [172.63650059499665, -43.565957816260706], [172.63665344225072, -43.56581960612807], [172.63681407217334, -43.56564891449389], [172.6368667440598, -43.565559633304076], [172.63692794128772, -43.565440057560416], [172.63696398442045, -43.565341626582764], [172.63700221032641, -43.565226524064826], [172.63701738573744, -43.565129544915415], [172.63703047713463, -43.56503255734524], [172.63703537493654, -43.56499474449819]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,5.52,CCC,No Public Relevance,"[[[172.6361535524718, -43.566293549059914], [172.63618801363873, -43.56626033513223], [172.63619616652457, -43.56625479198631]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,76.98,CCC,No Public Relevance,"[[[172.63588538682225, -43.56666885509858], [172.63567600684, -43.56686705271626], [172.635294985017, -43.56721303478306]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,28.43,CCC,No Public Relevance,"[[[172.58946816639678, -43.522307272814395], [172.58956095409147, -43.52213386076727], [172.58959558033908, -43.5220686628049]]]"
In Service,Southern Lights Cycleway,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,103.66,CCC,Public,"[[[172.63702903514275, -43.55793695348692], [172.6371228911327, -43.55793742159674], [172.63811886088985, -43.55793316793598], [172.63831055250103, -43.557913358397954]]]"
In Service,Southern Lights Cycleway,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,108.64,CCC,Public,"[[[172.6383432335329, -43.55803186700518], [172.63822652929048, -43.55801933580847], [172.6381186294341, -43.55801445981816], [172.6374881431545, -43.558030078270015], [172.63737442681656, -43.558013192242306], [172.63701893771918, -43.55802448636926], [172.63700279478616, -43.558023074582444]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,124.24,CCC,Public,"[[[172.63492759794326, -43.56761454738195], [172.6350086239047, -43.56762832496569], [172.63507991765368, -43.56765280801786], [172.6351867011489, -43.567710455934176], [172.6352717014458, -43.5677732251723], [172.63535446707274, -43.567873503151276], [172.63539074690897, -43.567947338811784], [172.6354099234372, -43.568019246148715], [172.63543708931178, -43.56810108265905], [172.6354648074095, -43.56821292286133], [172.63549261224333, -43.56831245011085], [172.63552771270355, -43.56844414464286], [172.635569864531, -43.56855385001287]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,110.07,CCC,Public,"[[[172.6351825886896, -43.56756887722718], [172.63525674718642, -43.56761605715357], [172.63534450145704, -43.56769956005511], [172.63543298178516, -43.56779761506422], [172.63546825230446, -43.567858535483026], [172.63550577797955, -43.567959076986334], [172.63555355372947, -43.56814214297711], [172.6355885845922, -43.568310652676196], [172.63562684357404, -43.56844390146267], [172.63564212000378, -43.56847591229669]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:11+12:00,121.62,CCC,Public,"[[[172.63564148620293, -43.568477722818834], [172.63568805789333, -43.56856606449981], [172.63576684690776, -43.568660311099634], [172.6358164517376, -43.5687071188915], [172.6358728725559, -43.568752070997974], [172.6359478754174, -43.56880043450492], [172.6360382596738, -43.56884432232794], [172.63618200473357, -43.56889807650093], [172.63632444440304, -43.56894819585412], [172.6364022631403, -43.56897239178971], [172.63656084160186, -43.56903154204345], [172.63680207882823, -43.56911573330441]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:12+12:00,50.51,CCC,Public,"[[[172.63594805202686, -43.56890598929562], [172.63583784467482, -43.568850718204516], [172.63575578982687, -43.56879221956158], [172.63568245567473, -43.568720558421816], [172.63565815207681, -43.568689290485594], [172.6355711048218, -43.56855475978713]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:12+12:00,21.64,CCC,Public,"[[[172.63618947356468, -43.56899225249897], [172.6360711689876, -43.56895269427665], [172.63594929902447, -43.568905993266384]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:12+12:00,19.53,CCC,Public,"[[[172.63637358553802, -43.56905593052582], [172.63642694277854, -43.56907648658649], [172.63659126737485, -43.569132364941964]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:12+12:00,18.5,CCC,Public,"[[[172.63719255104667, -43.56925011342054], [172.63726980540125, -43.56927850742437], [172.63739834369343, -43.56932327426645]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:12+12:00,29.68,CCC,Public,"[[[172.63759851178645, -43.569480977881874], [172.6375347825967, -43.56946164286864], [172.63726634913263, -43.56936682658]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:12+12:00,56.42,CCC,Public,"[[[172.6373989638605, -43.5693237291437], [172.63787486159865, -43.569490068043116], [172.6380279416133, -43.56954494616669]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:12+12:00,75.5,CCC,Public,"[[[172.63802608527732, -43.569542675737786], [172.63833085399074, -43.56964874156105], [172.63886886360405, -43.56983706110123]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:12+12:00,132.15,CCC,Public,"[[[172.6375978807543, -43.56948233461258], [172.63840390755024, -43.5697607721509], [172.63895103735686, -43.56994978375404], [172.63907595393684, -43.569993041673804]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:12+12:00,26.25,CCC,Public,"[[[172.63967210512294, -43.570195198497956], [172.63943588513936, -43.5701180307801], [172.63937613068515, -43.57009752347974]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:12+12:00,57.69,CCC,Public,"[[[172.63967210512294, -43.570195198497956], [172.64023073524646, -43.570382507805796], [172.64032073266677, -43.57041303331446]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:12+12:00,40.3,CCC,Public,"[[[172.6407877445056, -43.57054077981047], [172.64070910076083, -43.570522864688144], [172.64047337175307, -43.57046140124911], [172.6403207299716, -43.57041348621624]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:12+12:00,67.14,CCC,Public,"[[[172.64388893891376, -43.57039689719747], [172.64361491237216, -43.57051421238883], [172.64351629774973, -43.5705565343343], [172.64335421303724, -43.57060705821734], [172.64314171286398, -43.57065512845127]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:12+12:00,66.68,CCC,Public,"[[[172.63967196553563, -43.570117242565004], [172.640070894096, -43.57024825841293], [172.6404261457635, -43.57036172232279]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:12+12:00,60.44,CCC,Public,"[[[172.64338592982028, -43.57048525046016], [172.64344182329242, -43.57046989528037], [172.64352858941623, -43.57044492442837], [172.64376487183205, -43.57037056784079], [172.6439380816613, -43.57029978349921], [172.64405840282805, -43.570248893760265]]]"
